firma1,beziehung,firma2
Schweinezucht Gladau GmbH / Hübitz,hat die Muttergesellschaft,Adrianus G. M. Straathof
Adrianus G. M. Straathof/Schweinezucht Gladau GmbH,hat die Muttergesellschaft,Adrianus G. M. Straathof
Agrar-Genossenschaft Elbeland e.G.,hat die Muttergesellschaft,Agrar-Genossenschaft Elbeland eG
JSR Hybrid Produktion und Vertrieb GmbH Könnern,hat die Muttergesellschaft,JSR Hybrid Produktion und Vertrieb Hirschmann GmbH
Agrargenossenschaft Wormsdorf e.G.,hat die Muttergesellschaft,Agrargenossenschaft Wormsdorf eG
Köcher KG,hat die Muttergesellschaft,Agrargesellschaft Wegenstedt mbH und Co. Landprodukte KG
Akzo Nobel Base Chemicals GmbH Werk Bitterfeld,hat die Muttergesellschaft,Akzo Nobel Base Chemicals GmbH
AMI - Agrolinz Melamine International Deutschland GmbH,hat den Betreiber,Agrolinz Melamine International Deutschland GmbH
Clopay Advanced Printing Aschersleben GmbH,hat die Muttergesellschaft,APA Advanced Printing Aschersleben GmbH
HEXION Specialty Chemicals Forest  Products GmbH,hat die Muttergesellschaft,HEXION Speciality Chemicals Forest Products GmbH
"ARKEMA GmbH, NL Leuna, Bst. Peroxid",hat die Muttergesellschaft,ARKEMA GmbH NL Leuna
RMO Reinstmetalle Osterwieck GmbH,hat die Muttergesellschaft,PPM Pure Metals GmbH
CBW Chemie GmbH Bitterfeld-Wolfen BE Bitterfeld,hat die Muttergesellschaft,CBW Chemie GmbH Bitterfeld-Wolfen
CBW Chemie GmbH Bitterfeld-Wolfen BE Wolfen,hat die Muttergesellschaft,CBW Chemie GmbH Bitterfeld-Wolfen
ChemComm GmbH,hat die Muttergesellschaft,ChemComm Leuna GmbH
ChemCycle Bitterfeld GmbH,hat die Muttergesellschaft,Chemcycle Bitterfeld GmbH
ChemCycle Bitterfeld GmbH,hat den Betreiber,ChemCycle bitterfeld GmbH
COIL GmbH,hat die Muttergesellschaft,COIL N.V./S.A.
Evonik Degussa GmbH Betriebsstätte Bitterfeld,hat die Muttergesellschaft,Evonik Industries AG
Evonik Degussa GmbH Betriebsstätte Bitterfeld,hat den Betreiber,Evonik Degussa GmbH Werk Rheinfelden
Dessauer Wasser-und Abwasser GmbH,hat die Muttergesellschaft,Dessauer Wasser- und Abwasser GmbH
Pfeifer & Langen KG Werk Könnern,hat die Muttergesellschaft,Pfeifer & Langen KG
Domäne Alikendorf GbR,hat den Betreiber,"Klette, Joachim"
Domo Caproleuna GmbH,hat die Muttergesellschaft,DOMO Chemicals n.v.
"Dow Olefinverbund GmbH, Werk Leuna",hat die Muttergesellschaft,Dow Europe Holding BV
"Dow Olefinverbund GmbH, Werk Schkopau",hat die Muttergesellschaft,Dow Europe Holding B.V.
"SCHWENK Zement KG, Werk Bernburg",hat die Muttergesellschaft,SCHWENK Zement KG
